path,links,title
/tablesc/ca-grandes96.html,3/3,Torneo Grandes de Centroamerica 1996
/tablesc/ca-grandes97.html,4/4,Torneo Grandes de Centroamerica 1997
/tablesc/ca-grandes98.html,3/2,Torneo Grandes de Centroamerica 1997/98
/tablesc/ca1.html,66/73,CONCACAF Cup
/tablesc/ca2.html,10/10,CONCACAF Cup Winners Cup and Giants Cup
/tablesc/ca3.html,7/2,CONCACAF League
/tablesc/cacacu2015.html,1/2,2015 Cancún Caribbean Cup
/tablesc/caceresjuv.html,1/2,Trofeo Juvenil Cáceres Patrimonio de la Humanidad
/tablesc/cacups00.html,6/6,Central American Club Competitions 2000
/tablesc/cacups01.html,6/7,Central American Club Competitions 2001
/tablesc/cacups02.html,4/4,Central American Club Competitions 2002
/tablesc/cacups03.html,7/6,Central American Club Competitions 2002/03
/tablesc/cacups04.html,5/5,Central American Club Competitions 2003/04
/tablesc/cacups05.html,5/6,Central American Club Competitions 2004/05
/tablesc/cacups06.html,5/6,Central American Club Competitions 2005/06
/tablesc/cacups07.html,5/6,Central American Club Competitions 2006/07
/tablesc/cacups08.html,5/6,Central American Club Competitions 2007/08
/tablesc/cacups09.html,6/7,Central American Club Competitions 2008/09
/tablesc/cacups09det.html,2/2,Match Details CONCACAF Champions League 2008/09
/tablesc/cacups2010.html,4/8,Central American Club Competitions 2009/10
/tablesc/cacups2011.html,4/7,Central American Club Competitions 2010/11
/tablesc/cacups2012.html,4/7,Central American Club Competitions 2011/12
/tablesc/cacups2013.html,4/7,Central American Club Competitions 2012/13
/tablesc/cacups2014.html,5/5,Central American Club Competitions 2013/14
/tablesc/cacups2015.html,5/5,Central American Club Competitions 2014/15
/tablesc/cacups2016.html,5/5,Central American Club Competitions 2015/16
/tablesc/cacups2017.html,5/5,Central American Club Competitions 2016/17
/tablesc/cacups2018.html,6/6,Central American Club Competitions 2017/18
/tablesc/cacups2019.html,5/6,Central American Club Competitions 2018/19
/tablesc/cacups2020.html,6/6,Central American Club Competitions 2019/20
/tablesc/cacups2021.html,5/6,Central American Club Competitions 2020/21
/tablesc/cacups2022.html,5/6,Central American Club Competitions 2021/22
/tablesc/cacups2023.html,4/5,Central American Club Competitions 2022/23
/tablesc/cacups2024.html,5/8,Central American Club Competitions 2023/24
/tablesc/cacups2025.html,4/6,Central American Club Competitions 2024/25
/tablesc/cacups2026.html,4/5,Central American Club Competitions 2025/26
/tablesc/cacups59.html,4/5,Central American Club Competitions 1959
/tablesc/cacups59det.html,2/2,Championship of Central America and Mexico 1959 - Match Details
/tablesc/cacups61.html,5/5,Central American Club Competitions 1961
/tablesc/cacups61det.html,2/2,Championship of Central America and the Caribbean 1961 - Match Details
/tablesc/cacups62.html,4/3,Central American Club Competitions 1962
/tablesc/cacups63.html,4/3,Central American Club Competitions 1963
/tablesc/cacups67.html,4/3,Central American Club Competitions 1967
/tablesc/cacups68.html,4/3,Central American Club Competitions 1968
/tablesc/cacups69.html,4/3,Central American Club Competitions 1969
